   25   56     -56907.000
   26   56     -60603.000
   27   56     -56037.000
   28   56     -53901.000
   29   56     -38584.000
   30   56     -26130.000
   24   57     -52690.000
   25   57     -57487.000
   26   57     -60178.000
   27   57     -59342.000
   28   57     -56077.000
   29   57     -47350.000
   30   57     -32700.000
   24   58     -52050.000
   25   58     -55830.000
   26   58     -62151.000
   27   58     -59844.000
   28   58     -60225.000
   29   58     -51662.000
   30   58     -42210.000
   25   59     -55476.000
   26   59     -60661.000
   27   59     -62226.000
   28   59     -61153.000
   29   59     -56353.000
   30   59     -47260.000
   25   60     -52900.000
   26   60     -61406.000
   27   60     -61646.000
   28   60     -64470.000
   29   60     -58344.000
   30   60     -54185.000
   26   61     -58919.000
   27   61     -62897.000
   28   61     -64219.000
   29   61     -61982.000
   30   61     -56343.000
   31   61     -47540.000
   26   62     -58896.000
   27   62     -61423.000
   28   62     -66745.000
   29   62     -62797.000
   30   62     -61170.000
   31   62     -51999.000
   26   63     -55190.000
   27   63     -61839.000
   28   63     -65512.000
   29   63     -65578.000
   30   63     -62211.000
   31   63     -56690.000
   32   63     -47310.000
   27   64     -59791.000
   28   64     -67098.000
   29   64     -65422.996
   30   64     -66002.000
   31   64     -58837.000
   32   64     -54430.000
   27   65     -59160.000
   28   65     -65124.000
   29   65     -67262.000
   30   65     -65910.000
   31   65     -62654.000
   32   65     -56410.000
   33   65     -47510.000
   28   66     -66029.000
   29   66     -66256.000
   30   66     -68898.000
   31   66     -63724.000
   32   66     -61620.000
   33   66     -52070.000
   28   67     -63743.000
   29   67     -67303.000
   30   67     -67879.000
   31   67     -66878.000
   32   67     -62656.000
   33   67     -56650.000
   34   67     -46860.000
   28   68     -63483.000
   29   68     -65540.000
   30   68     -70006.000
   31   68     -67085.000
   32   68     -66978.000
   33   68     -58880.000
   34   68     -54080.000
   28   69     -60460.000
   29   69     -65741.000
   30   69     -68417.000
   31   69     -69322.000
   32   69     -67097.000
   33   69     -63080.000
   34   69     -56300.000
   35   69     -46800.000
   29   70     -63390.000
   30   70     -69561.000
   31   70     -68905.000
   32   70     -70561.000
   33   70     -64339.996
   34   70     -61540.000
   35   70     -51140.000
   29   71     -62920.000
   30   71     -67323.000
   31   71     -70139.000
   32   71     -69906.000
   33   71     -67894.000
   34   71     -63090.000
   35   71     -56590.000
   36   71     -46490.000
   30   72     -68131.000
   31   72     -68589.000
   32   72     -72583.000
   33   72     -68228.000
   34   72     -67897.000
   35   72     -59000.000
   36   72     -53940.000
   30   73     -65410.004
   31   73     -69705.000
   32   73     -71295.000
   33   73     -70955.000
   34   73     -68215.000
   35   73     -63600.000
   36   73     -56890.000
   37   73     -46590.000
   30   74     -65708.000
   31   74     -68060.000
   32   74     -73423.000
   33   74     -70861.000
   34   74     -72215.000
   35   74     -65301.004
   36   74     -62130.000
   37   74     -51670.000
   30   75     -62530.000
